GISJOIN,STATE,STATEFP,STATENH,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,2020: Persons: Total
"G010","Alabama","01","010",2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,5024279
"G020","Alaska","02","020",,,,226167,300382,401851,550043,626932,710231,733391
"G025","Alaska Territory",,"025",59278,72524,128643,,,,,,,
"G040","Arizona","04","040",435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017,7151502
"G050","Arkansas","05","050",1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,3011524
"G060","California","06","060",5677251,6907387,10586224,15717204,19953134,23667902,29760021,33871648,37253956,39538223
"G080","Colorado","08","080",1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,5773714
"G090","Connecticut","09","090",1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,3605944
"G100","Delaware","10","100",238380,266505,318085,446292,548104,594338,666168,783600,897934,989948
"G110","District of Columbia","11","110",486869,663091,802178,763956,756510,638333,606900,572059,601723,689545
"G120","Florida","12","120",1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310,21538187
"G130","Georgia","13","130",2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,10711908
"G150","Hawaii","15","150",,,,632772,768561,964691,1108229,1211537,1360301,1455271
"G155","Hawaii Territory",,"155",368336,422770,499794,,,,,,,
"G160","Idaho","16","160",445032,524873,588637,667191,712567,943935,1006749,1293953,1567582,1839106
"G170","Illinois","17","170",7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,12812508
"G180","Indiana","18","180",3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802,6785528
"G190","Iowa","19","190",2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355,3190369
"G200","Kansas","20","200",1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118,2937880
"G210","Kentucky","21","210",2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367,4505836
"G220","Louisiana","22","220",2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372,4657757
"G230","Maine","23","230",797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361,1362359
"G240","Maryland","24","240",1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552,6177224
"G250","Massachusetts","25","250",4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629,7029917
"G260","Michigan","26","260",4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640,10077331
"G270","Minnesota","27","270",2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925,5706494
"G280","Mississippi","28","280",2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2967297,2961279
"G290","Missouri","29","290",3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5988927,6154913
"G300","Montana","30","300",537606,559456,591024,674767,694409,786690,799065,902195,989415,1084225
"G310","Nebraska","31","310",1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1826341,1961504
"G320","Nevada","32","320",91058,110247,160083,285278,488738,800493,1201833,1998257,2700551,3104614
"G330","New Hampshire","33","330",465293,491524,533242,606921,737681,920610,1109252,1235786,1316470,1377529
"G340","New Jersey","34","340",4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8791894,9288994
"G350","New Mexico","35","350",423317,531818,681187,951023,1016000,1302894,1515069,1819046,2059179,2117522
"G360","New York","36","360",12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19378102,20201249
"G370","North Carolina","37","370",3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9535483,10439388
"G380","North Dakota","38","380",680845,641935,619636,632446,617761,652717,638800,642200,672591,779094
"G390","Ohio","39","390",6646697,6907612,7946627,9706398,10652017,10797630,10847115,11353140,11536504,11799448
"G400","Oklahoma","40","400",2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3751351,3959353
"G410","Oregon","41","410",953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3831074,4237256
"G420","Pennsylvania","42","420",9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12702379,13002700
"G440","Rhode Island","44","440",687497,713346,791896,859488,946725,947154,1003464,1048319,1052567,1097379
"G450","South Carolina","45","450",1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4625364,5118425
"G460","South Dakota","46","460",692849,642961,652740,680514,665507,690768,696004,754844,814180,886667
"G470","Tennessee","47","470",2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,6346105,6910840
"G480","Texas","48","480",5824715,6414824,7711194,9579678,11196730,14229191,16986510,20851820,25145561,29145505
"G490","Utah","49","490",507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885,3271616
"G500","Vermont","50","500",359611,359231,377747,389881,444330,511456,562758,608827,625741,643077
"G510","Virginia","51","510",2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,8001024,8631393
"G530","Washington","53","530",1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6724540,7705281
"G540","West Virginia","54","540",1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1852994,1793716
"G550","Wisconsin","55","550",2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5686986,5893718
"G560","Wyoming","56","560",225565,250742,290529,330066,332416,469557,453588,493782,563626,576851
"G720","Puerto Rico","72","720",,,,,,,,,3725789,3285874