"Year","COUNTY","GISJOIN","STATE","STATEFP","STATENH","COUNTYFP","COUNTYNH","Population"
1992,"Piscataquis County",NA,NA,NA,NA,NA,NA,18369.4
1993,"Piscataquis County",NA,NA,NA,NA,NA,NA,18227.6
1994,"Piscataquis County",NA,NA,NA,NA,NA,NA,18085.8
1995,"Piscataquis County",NA,NA,NA,NA,NA,NA,17944
1996,"Piscataquis County",NA,NA,NA,NA,NA,NA,17802.2
1997,"Piscataquis County",NA,NA,NA,NA,NA,NA,17660.4
1998,"Piscataquis County",NA,NA,NA,NA,NA,NA,17518.6
1999,"Piscataquis County",NA,NA,NA,NA,NA,NA,17376.8
2000,"Piscataquis County","G2300210","Maine",23,230,21,210,17235
2001,"Piscataquis County",NA,NA,NA,NA,NA,NA,17265
2002,"Piscataquis County",NA,NA,NA,NA,NA,NA,17295
2003,"Piscataquis County",NA,NA,NA,NA,NA,NA,17325
2004,"Piscataquis County",NA,NA,NA,NA,NA,NA,17355
2005,"Piscataquis County",NA,NA,NA,NA,NA,NA,17385
2006,"Piscataquis County",NA,NA,NA,NA,NA,NA,17415
2007,"Piscataquis County",NA,NA,NA,NA,NA,NA,17445
2008,"Piscataquis County",NA,NA,NA,NA,NA,NA,17475
2009,"Piscataquis County",NA,NA,NA,NA,NA,NA,17505
2010,"Piscataquis County","G2300210","Maine",23,230,21,210,17535
2011,"Piscataquis County",NA,NA,NA,NA,NA,NA,17461.5
2012,"Piscataquis County",NA,NA,NA,NA,NA,NA,17388
2013,"Piscataquis County",NA,NA,NA,NA,NA,NA,17314.5
2014,"Piscataquis County",NA,NA,NA,NA,NA,NA,17241
2015,"Piscataquis County",NA,NA,NA,NA,NA,NA,17167.5
2016,"Piscataquis County",NA,NA,NA,NA,NA,NA,17094
2017,"Piscataquis County",NA,NA,NA,NA,NA,NA,17020.5
2018,"Piscataquis County",NA,NA,NA,NA,NA,NA,16947
2019,"Piscataquis County",NA,NA,NA,NA,NA,NA,16873.5
2020,"Piscataquis County","G2300210","Maine",23,230,21,210,16800
1950,"Sagadahoc County","G2300230","Maine",23,230,23,230,20911
1951,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21099.2
1952,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21287.4
1953,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21475.6
1954,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21663.8
1955,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21852
1956,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22040.2
1957,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22228.4
1958,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22416.6
1959,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22604.8
1960,"Sagadahoc County","G2300230","Maine",23,230,23,230,22793
1961,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22858.9
1962,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22924.8
1963,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22990.7
1964,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23056.6
1965,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23122.5
1966,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23188.4
1967,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23254.3
1968,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23320.2
1969,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23386.1
1970,"Sagadahoc County","G2300230","Maine",23,230,23,230,23452
1971,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23986.3
1972,"Sagadahoc County",NA,NA,NA,NA,NA,NA,24520.6
1973,"Sagadahoc County",NA,NA,NA,NA,NA,NA,25054.9
1974,"Sagadahoc County",NA,NA,NA,NA,NA,NA,25589.2
1975,"Sagadahoc County",NA,NA,NA,NA,NA,NA,26123.5
1976,"Sagadahoc County",NA,NA,NA,NA,NA,NA,26657.8
1977,"Sagadahoc County",NA,NA,NA,NA,NA,NA,27192.1
1978,"Sagadahoc County",NA,NA,NA,NA,NA,NA,27726.4
1979,"Sagadahoc County",NA,NA,NA,NA,NA,NA,28260.7
1980,"Sagadahoc County","G2300230","Maine",23,230,23,230,28795
1981,"Sagadahoc County",NA,NA,NA,NA,NA,NA,29269
1982,"Sagadahoc County",NA,NA,NA,NA,NA,NA,29743
1983,"Sagadahoc County",NA,NA,NA,NA,NA,NA,30217
1984,"Sagadahoc County",NA,NA,NA,NA,NA,NA,30691
1985,"Sagadahoc County",NA,NA,NA,NA,NA,NA,31165
1986,"Sagadahoc County",NA,NA,NA,NA,NA,NA,31639
1987,"Sagadahoc County",NA,NA,NA,NA,NA,NA,32113
1988,"Sagadahoc County",NA,NA,NA,NA,NA,NA,32587
1989,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33061
1990,"Sagadahoc County","G2300230","Maine",23,230,23,230,33535
1991,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33702.9
1992,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33870.8
1993,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34038.7
1994,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34206.6
1995,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34374.5
1996,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34542.4
1997,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34710.3
1998,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34878.2
1999,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35046.1
2000,"Sagadahoc County","G2300230","Maine",23,230,23,230,35214
2001,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35221.9
2002,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35229.8
2003,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35237.7
2004,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35245.6
2005,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35253.5
2006,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35261.4
2007,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35269.3
2008,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35277.2
2009,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35285.1
2010,"Sagadahoc County","G2300230","Maine",23,230,23,230,35293
2011,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35433.6
2012,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35574.2
2013,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35714.8
2014,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35855.4
2015,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35996
2016,"Sagadahoc County",NA,NA,NA,NA,NA,NA,36136.6
2017,"Sagadahoc County",NA,NA,NA,NA,NA,NA,36277.2
2018,"Sagadahoc County",NA,NA,NA,NA,NA,NA,36417.8
2019,"Sagadahoc County",NA,NA,NA,NA,NA,NA,36558.4
2020,"Sagadahoc County","G2300230","Maine",23,230,23,230,36699
1950,"Somerset County","G2300250","Maine",23,230,25,250,39785
1951,"Somerset County",NA,NA,NA,NA,NA,NA,39781.4
1952,"Somerset County",NA,NA,NA,NA,NA,NA,39777.8
1953,"Somerset County",NA,NA,NA,NA,NA,NA,39774.2
1954,"Somerset County",NA,NA,NA,NA,NA,NA,39770.6
1955,"Somerset County",NA,NA,NA,NA,NA,NA,39767
1956,"Somerset County",NA,NA,NA,NA,NA,NA,39763.4
1957,"Somerset County",NA,NA,NA,NA,NA,NA,39759.8
1958,"Somerset County",NA,NA,NA,NA,NA,NA,39756.2
1959,"Somerset County",NA,NA,NA,NA,NA,NA,39752.6
1960,"Somerset County","G2300250","Maine",23,230,25,250,39749
1961,"Somerset County",NA,NA,NA,NA,NA,NA,39833.8
1962,"Somerset County",NA,NA,NA,NA,NA,NA,39918.6
1963,"Somerset County",NA,NA,NA,NA,NA,NA,40003.4
1964,"Somerset County",NA,NA,NA,NA,NA,NA,40088.2
1965,"Somerset County",NA,NA,NA,NA,NA,NA,40173
1966,"Somerset County",NA,NA,NA,NA,NA,NA,40257.8
1967,"Somerset County",NA,NA,NA,NA,NA,NA,40342.6
1968,"Somerset County",NA,NA,NA,NA,NA,NA,40427.4
1969,"Somerset County",NA,NA,NA,NA,NA,NA,40512.2
1970,"Somerset County","G2300250","Maine",23,230,25,250,40597
1971,"Somerset County",NA,NA,NA,NA,NA,NA,41040.1
1972,"Somerset County",NA,NA,NA,NA,NA,NA,41483.2
1973,"Somerset County",NA,NA,NA,NA,NA,NA,41926.3
1974,"Somerset County",NA,NA,NA,NA,NA,NA,42369.4
1975,"Somerset County",NA,NA,NA,NA,NA,NA,42812.5
1976,"Somerset County",NA,NA,NA,NA,NA,NA,43255.6
1977,"Somerset County",NA,NA,NA,NA,NA,NA,43698.7
1978,"Somerset County",NA,NA,NA,NA,NA,NA,44141.8
1979,"Somerset County",NA,NA,NA,NA,NA,NA,44584.9
1980,"Somerset County","G2300250","Maine",23,230,25,250,45028
1981,"Somerset County",NA,NA,NA,NA,NA,NA,45501.9
1982,"Somerset County",NA,NA,NA,NA,NA,NA,45975.8
1983,"Somerset County",NA,NA,NA,NA,NA,NA,46449.7
1984,"Somerset County",NA,NA,NA,NA,NA,NA,46923.6
1985,"Somerset County",NA,NA,NA,NA,NA,NA,47397.5
1986,"Somerset County",NA,NA,NA,NA,NA,NA,47871.4
1987,"Somerset County",NA,NA,NA,NA,NA,NA,48345.3
1988,"Somerset County",NA,NA,NA,NA,NA,NA,48819.2
1989,"Somerset County",NA,NA,NA,NA,NA,NA,49293.1
1990,"Somerset County","G2300250","Maine",23,230,25,250,49767
1991,"Somerset County",NA,NA,NA,NA,NA,NA,49879.1
1992,"Somerset County",NA,NA,NA,NA,NA,NA,49991.2
1993,"Somerset County",NA,NA,NA,NA,NA,NA,50103.3
1994,"Somerset County",NA,NA,NA,NA,NA,NA,50215.4
1995,"Somerset County",NA,NA,NA,NA,NA,NA,50327.5
1996,"Somerset County",NA,NA,NA,NA,NA,NA,50439.6
1997,"Somerset County",NA,NA,NA,NA,NA,NA,50551.7
1998,"Somerset County",NA,NA,NA,NA,NA,NA,50663.8
1999,"Somerset County",NA,NA,NA,NA,NA,NA,50775.9
2000,"Somerset County","G2300250","Maine",23,230,25,250,50888
2001,"Somerset County",NA,NA,NA,NA,NA,NA,51022
2002,"Somerset County",NA,NA,NA,NA,NA,NA,51156
2003,"Somerset County",NA,NA,NA,NA,NA,NA,51290
2004,"Somerset County",NA,NA,NA,NA,NA,NA,51424
2005,"Somerset County",NA,NA,NA,NA,NA,NA,51558
2006,"Somerset County",NA,NA,NA,NA,NA,NA,51692
2007,"Somerset County",NA,NA,NA,NA,NA,NA,51826
2008,"Somerset County",NA,NA,NA,NA,NA,NA,51960
2009,"Somerset County",NA,NA,NA,NA,NA,NA,52094
2010,"Somerset County","G2300250","Maine",23,230,25,250,52228
2011,"Somerset County",NA,NA,NA,NA,NA,NA,52052.9
2012,"Somerset County",NA,NA,NA,NA,NA,NA,51877.8
2013,"Somerset County",NA,NA,NA,NA,NA,NA,51702.7
2014,"Somerset County",NA,NA,NA,NA,NA,NA,51527.6
2015,"Somerset County",NA,NA,NA,NA,NA,NA,51352.5
2016,"Somerset County",NA,NA,NA,NA,NA,NA,51177.4
2017,"Somerset County",NA,NA,NA,NA,NA,NA,51002.3
2018,"Somerset County",NA,NA,NA,NA,NA,NA,50827.2
2019,"Somerset County",NA,NA,NA,NA,NA,NA,50652.1
2020,"Somerset County","G2300250","Maine",23,230,25,250,50477
1950,"Waldo County","G2300270","Maine",23,230,27,270,21687
1951,"Waldo County",NA,NA,NA,NA,NA,NA,21781.5
1952,"Waldo County",NA,NA,NA,NA,NA,NA,21876
1953,"Waldo County",NA,NA,NA,NA,NA,NA,21970.5
1954,"Waldo County",NA,NA,NA,NA,NA,NA,22065
1955,"Waldo County",NA,NA,NA,NA,NA,NA,22159.5
1956,"Waldo County",NA,NA,NA,NA,NA,NA,22254
1957,"Waldo County",NA,NA,NA,NA,NA,NA,22348.5
1958,"Waldo County",NA,NA,NA,NA,NA,NA,22443
1959,"Waldo County",NA,NA,NA,NA,NA,NA,22537.5
1960,"Waldo County","G2300270","Maine",23,230,27,270,22632
1961,"Waldo County",NA,NA,NA,NA,NA,NA,22701.6
1962,"Waldo County",NA,NA,NA,NA,NA,NA,22771.2
1963,"Waldo County",NA,NA,NA,NA,NA,NA,22840.8
1964,"Waldo County",NA,NA,NA,NA,NA,NA,22910.4
1965,"Waldo County",NA,NA,NA,NA,NA,NA,22980
1966,"Waldo County",NA,NA,NA,NA,NA,NA,23049.6
1967,"Waldo County",NA,NA,NA,NA,NA,NA,23119.2
1968,"Waldo County",NA,NA,NA,NA,NA,NA,23188.8
1969,"Waldo County",NA,NA,NA,NA,NA,NA,23258.4
1970,"Waldo County","G2300270","Maine",23,230,27,270,23328
1971,"Waldo County",NA,NA,NA,NA,NA,NA,23836.6
1972,"Waldo County",NA,NA,NA,NA,NA,NA,24345.2
1973,"Waldo County",NA,NA,NA,NA,NA,NA,24853.8
1974,"Waldo County",NA,NA,NA,NA,NA,NA,25362.4
1975,"Waldo County",NA,NA,NA,NA,NA,NA,25871
1976,"Waldo County",NA,NA,NA,NA,NA,NA,26379.6
1977,"Waldo County",NA,NA,NA,NA,NA,NA,26888.2
1978,"Waldo County",NA,NA,NA,NA,NA,NA,27396.8
1979,"Waldo County",NA,NA,NA,NA,NA,NA,27905.4
1980,"Waldo County","G2300270","Maine",23,230,27,270,28414
1981,"Waldo County",NA,NA,NA,NA,NA,NA,28874.4
1982,"Waldo County",NA,NA,NA,NA,NA,NA,29334.8
1983,"Waldo County",NA,NA,NA,NA,NA,NA,29795.2
1984,"Waldo County",NA,NA,NA,NA,NA,NA,30255.6
1985,"Waldo County",NA,NA,NA,NA,NA,NA,30716
1986,"Waldo County",NA,NA,NA,NA,NA,NA,31176.4
1987,"Waldo County",NA,NA,NA,NA,NA,NA,31636.8
1988,"Waldo County",NA,NA,NA,NA,NA,NA,32097.2
1989,"Waldo County",NA,NA,NA,NA,NA,NA,32557.6
1990,"Waldo County","G2300270","Maine",23,230,27,270,33018
1991,"Waldo County",NA,NA,NA,NA,NA,NA,33344.2
1992,"Waldo County",NA,NA,NA,NA,NA,NA,33670.4
1993,"Waldo County",NA,NA,NA,NA,NA,NA,33996.6
1994,"Waldo County",NA,NA,NA,NA,NA,NA,34322.8
1995,"Waldo County",NA,NA,NA,NA,NA,NA,34649
1996,"Waldo County",NA,NA,NA,NA,NA,NA,34975.2
1997,"Waldo County",NA,NA,NA,NA,NA,NA,35301.4
1998,"Waldo County",NA,NA,NA,NA,NA,NA,35627.6
1999,"Waldo County",NA,NA,NA,NA,NA,NA,35953.8
2000,"Waldo County","G2300270","Maine",23,230,27,270,36280
2001,"Waldo County",NA,NA,NA,NA,NA,NA,36530.6
2002,"Waldo County",NA,NA,NA,NA,NA,NA,36781.2
2003,"Waldo County",NA,NA,NA,NA,NA,NA,37031.8
2004,"Waldo County",NA,NA,NA,NA,NA,NA,37282.4
2005,"Waldo County",NA,NA,NA,NA,NA,NA,37533
2006,"Waldo County",NA,NA,NA,NA,NA,NA,37783.6
2007,"Waldo County",NA,NA,NA,NA,NA,NA,38034.2
2008,"Waldo County",NA,NA,NA,NA,NA,NA,38284.8
2009,"Waldo County",NA,NA,NA,NA,NA,NA,38535.4
2010,"Waldo County","G2300270","Maine",23,230,27,270,38786
2011,"Waldo County",NA,NA,NA,NA,NA,NA,38868.1
2012,"Waldo County",NA,NA,NA,NA,NA,NA,38950.2
2013,"Waldo County",NA,NA,NA,NA,NA,NA,39032.3
2014,"Waldo County",NA,NA,NA,NA,NA,NA,39114.4
2015,"Waldo County",NA,NA,NA,NA,NA,NA,39196.5
2016,"Waldo County",NA,NA,NA,NA,NA,NA,39278.6
2017,"Waldo County",NA,NA,NA,NA,NA,NA,39360.7
2018,"Waldo County",NA,NA,NA,NA,NA,NA,39442.8
2019,"Waldo County",NA,NA,NA,NA,NA,NA,39524.9
2020,"Waldo County","G2300270","Maine",23,230,27,270,39607
1950,"Washington County","G2300290","Maine",23,230,29,290,35187
1951,"Washington County",NA,NA,NA,NA,NA,NA,34959.1
1952,"Washington County",NA,NA,NA,NA,NA,NA,34731.2
1953,"Washington County",NA,NA,NA,NA,NA,NA,34503.3
1954,"Washington County",NA,NA,NA,NA,NA,NA,34275.4
1955,"Washington County",NA,NA,NA,NA,NA,NA,34047.5
1956,"Washington County",NA,NA,NA,NA,NA,NA,33819.6
1957,"Washington County",NA,NA,NA,NA,NA,NA,33591.7
1958,"Washington County",NA,NA,NA,NA,NA,NA,33363.8
1959,"Washington County",NA,NA,NA,NA,NA,NA,33135.9
1960,"Washington County","G2300290","Maine",23,230,29,290,32908
1961,"Washington County",NA,NA,NA,NA,NA,NA,32603.1
1962,"Washington County",NA,NA,NA,NA,NA,NA,32298.2
1963,"Washington County",NA,NA,NA,NA,NA,NA,31993.3
1964,"Washington County",NA,NA,NA,NA,NA,NA,31688.4
1965,"Washington County",NA,NA,NA,NA,NA,NA,31383.5
1966,"Washington County",NA,NA,NA,NA,NA,NA,31078.6
1967,"Washington County",NA,NA,NA,NA,NA,NA,30773.7
1968,"Washington County",NA,NA,NA,NA,NA,NA,30468.8
1969,"Washington County",NA,NA,NA,NA,NA,NA,30163.9
1970,"Washington County","G2300290","Maine",23,230,29,290,29859
1971,"Washington County",NA,NA,NA,NA,NA,NA,30369.4
1972,"Washington County",NA,NA,NA,NA,NA,NA,30879.8
1973,"Washington County",NA,NA,NA,NA,NA,NA,31390.2
1974,"Washington County",NA,NA,NA,NA,NA,NA,31900.6
1975,"Washington County",NA,NA,NA,NA,NA,NA,32411
1976,"Washington County",NA,NA,NA,NA,NA,NA,32921.4
1977,"Washington County",NA,NA,NA,NA,NA,NA,33431.8
1978,"Washington County",NA,NA,NA,NA,NA,NA,33942.2
1979,"Washington County",NA,NA,NA,NA,NA,NA,34452.6
1980,"Washington County","G2300290","Maine",23,230,29,290,34963
1981,"Washington County",NA,NA,NA,NA,NA,NA,34997.5
1982,"Washington County",NA,NA,NA,NA,NA,NA,35032
1983,"Washington County",NA,NA,NA,NA,NA,NA,35066.5
1984,"Washington County",NA,NA,NA,NA,NA,NA,35101
1985,"Washington County",NA,NA,NA,NA,NA,NA,35135.5
1986,"Washington County",NA,NA,NA,NA,NA,NA,35170
1987,"Washington County",NA,NA,NA,NA,NA,NA,35204.5
1988,"Washington County",NA,NA,NA,NA,NA,NA,35239
1989,"Washington County",NA,NA,NA,NA,NA,NA,35273.5
1990,"Washington County","G2300290","Maine",23,230,29,290,35308
1991,"Washington County",NA,NA,NA,NA,NA,NA,35171.3
1992,"Washington County",NA,NA,NA,NA,NA,NA,35034.6
1993,"Washington County",NA,NA,NA,NA,NA,NA,34897.9
1994,"Washington County",NA,NA,NA,NA,NA,NA,34761.2
1995,"Washington County",NA,NA,NA,NA,NA,NA,34624.5
1996,"Washington County",NA,NA,NA,NA,NA,NA,34487.8
1997,"Washington County",NA,NA,NA,NA,NA,NA,34351.1
1998,"Washington County",NA,NA,NA,NA,NA,NA,34214.4
1999,"Washington County",NA,NA,NA,NA,NA,NA,34077.7
2000,"Washington County","G2300290","Maine",23,230,29,290,33941
2001,"Washington County",NA,NA,NA,NA,NA,NA,33832.5
2002,"Washington County",NA,NA,NA,NA,NA,NA,33724
2003,"Washington County",NA,NA,NA,NA,NA,NA,33615.5
2004,"Washington County",NA,NA,NA,NA,NA,NA,33507
2005,"Washington County",NA,NA,NA,NA,NA,NA,33398.5
2006,"Washington County",NA,NA,NA,NA,NA,NA,33290
2007,"Washington County",NA,NA,NA,NA,NA,NA,33181.5
2008,"Washington County",NA,NA,NA,NA,NA,NA,33073
2009,"Washington County",NA,NA,NA,NA,NA,NA,32964.5
2010,"Washington County","G2300290","Maine",23,230,29,290,32856
2011,"Washington County",NA,NA,NA,NA,NA,NA,32679.9
2012,"Washington County",NA,NA,NA,NA,NA,NA,32503.8
2013,"Washington County",NA,NA,NA,NA,NA,NA,32327.7
2014,"Washington County",NA,NA,NA,NA,NA,NA,32151.6
2015,"Washington County",NA,NA,NA,NA,NA,NA,31975.5
2016,"Washington County",NA,NA,NA,NA,NA,NA,31799.4
2017,"Washington County",NA,NA,NA,NA,NA,NA,31623.3
2018,"Washington County",NA,NA,NA,NA,NA,NA,31447.2
2019,"Washington County",NA,NA,NA,NA,NA,NA,31271.1
2020,"Washington County","G2300290","Maine",23,230,29,290,31095
1950,"York County","G2300310","Maine",23,230,31,310,93541
1951,"York County",NA,NA,NA,NA,NA,NA,94127.1
1952,"York County",NA,NA,NA,NA,NA,NA,94713.2
1953,"York County",NA,NA,NA,NA,NA,NA,95299.3
1954,"York County",NA,NA,NA,NA,NA,NA,95885.4
1955,"York County",NA,NA,NA,NA,NA,NA,96471.5
1956,"York County",NA,NA,NA,NA,NA,NA,97057.6
1957,"York County",NA,NA,NA,NA,NA,NA,97643.7
1958,"York County",NA,NA,NA,NA,NA,NA,98229.8
1959,"York County",NA,NA,NA,NA,NA,NA,98815.9
1960,"York County","G2300310","Maine",23,230,31,310,99402
1961,"York County",NA,NA,NA,NA,NA,NA,100619.4
1962,"York County",NA,NA,NA,NA,NA,NA,101836.8
1963,"York County",NA,NA,NA,NA,NA,NA,103054.2
1964,"York County",NA,NA,NA,NA,NA,NA,104271.6
1965,"York County",NA,NA,NA,NA,NA,NA,105489
1966,"York County",NA,NA,NA,NA,NA,NA,106706.4
1967,"York County",NA,NA,NA,NA,NA,NA,107923.8
1968,"York County",NA,NA,NA,NA,NA,NA,109141.2
1969,"York County",NA,NA,NA,NA,NA,NA,110358.6
1970,"York County","G2300310","Maine",23,230,31,310,111576
1971,"York County",NA,NA,NA,NA,NA,NA,114385
1972,"York County",NA,NA,NA,NA,NA,NA,117194
1973,"York County",NA,NA,NA,NA,NA,NA,120003
1974,"York County",NA,NA,NA,NA,NA,NA,122812
1975,"York County",NA,NA,NA,NA,NA,NA,125621
1976,"York County",NA,NA,NA,NA,NA,NA,128430
1977,"York County",NA,NA,NA,NA,NA,NA,131239
1978,"York County",NA,NA,NA,NA,NA,NA,134048
1979,"York County",NA,NA,NA,NA,NA,NA,136857
1980,"York County","G2300310","Maine",23,230,31,310,139666
1981,"York County",NA,NA,NA,NA,NA,NA,142158.1
1982,"York County",NA,NA,NA,NA,NA,NA,144650.2
1983,"York County",NA,NA,NA,NA,NA,NA,147142.3
1984,"York County",NA,NA,NA,NA,NA,NA,149634.4
1985,"York County",NA,NA,NA,NA,NA,NA,152126.5
1986,"York County",NA,NA,NA,NA,NA,NA,154618.6
1987,"York County",NA,NA,NA,NA,NA,NA,157110.7
1988,"York County",NA,NA,NA,NA,NA,NA,159602.8
1989,"York County",NA,NA,NA,NA,NA,NA,162094.9
1990,"York County","G2300310","Maine",23,230,31,310,164587
1991,"York County",NA,NA,NA,NA,NA,NA,166802.5
1992,"York County",NA,NA,NA,NA,NA,NA,169018
1993,"York County",NA,NA,NA,NA,NA,NA,171233.5
1994,"York County",NA,NA,NA,NA,NA,NA,173449
1995,"York County",NA,NA,NA,NA,NA,NA,175664.5
1996,"York County",NA,NA,NA,NA,NA,NA,177880
1997,"York County",NA,NA,NA,NA,NA,NA,180095.5
1998,"York County",NA,NA,NA,NA,NA,NA,182311
1999,"York County",NA,NA,NA,NA,NA,NA,184526.5
2000,"York County","G2300310","Maine",23,230,31,310,186742
2001,"York County",NA,NA,NA,NA,NA,NA,187780.9
2002,"York County",NA,NA,NA,NA,NA,NA,188819.8
2003,"York County",NA,NA,NA,NA,NA,NA,189858.7
2004,"York County",NA,NA,NA,NA,NA,NA,190897.6
2005,"York County",NA,NA,NA,NA,NA,NA,191936.5
2006,"York County",NA,NA,NA,NA,NA,NA,192975.4
2007,"York County",NA,NA,NA,NA,NA,NA,194014.3
2008,"York County",NA,NA,NA,NA,NA,NA,195053.2
2009,"York County",NA,NA,NA,NA,NA,NA,196092.1
2010,"York County","G2300310","Maine",23,230,31,310,197131
2011,"York County",NA,NA,NA,NA,NA,NA,198615.1
2012,"York County",NA,NA,NA,NA,NA,NA,200099.2
2013,"York County",NA,NA,NA,NA,NA,NA,201583.3
2014,"York County",NA,NA,NA,NA,NA,NA,203067.4
2015,"York County",NA,NA,NA,NA,NA,NA,204551.5
2016,"York County",NA,NA,NA,NA,NA,NA,206035.6
2017,"York County",NA,NA,NA,NA,NA,NA,207519.7
2018,"York County",NA,NA,NA,NA,NA,NA,209003.8
2019,"York County",NA,NA,NA,NA,NA,NA,210487.9
2020,"York County","G2300310","Maine",23,230,31,310,211972
